D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
67234|2018|Toyota|Camry|Sedan|White|45600|15995.00
88902|2020|Tesla|Model 3|Sedan|Black|21500|28995.00
34789|2017|Chevrolet|Malibu|Sedan|Blue|76200|13995.00
55890|2019|Jeep|Wrangler|SUV|Green|48300|27995.00
22458|2016|Nissan|Altima|Sedan|Silver|88800|11995.00
99123|2015|BMW|X5|SUV|White|64000|22995.00
77890|2021|Hyundai|Elantra|Sedan|Red|18000|17995.00
66231|2014|Subaru|Outback|Wagon|Beige|94000|10995.00
55812|2013|Kia|Sorento|SUV|Gray|115000|8995.00
11567|2018|Chevrolet|Silverado|Truck|Black|54000|25995.00
31092|2022|Ford|Mustang|Coupe|Blue|12000|34995.00
45902|2019|Honda|CR-V|SUV|Silver|42000|21995.00
55278|2020|Mazda|CX-5|SUV|White|30000|23995.00
68210|2017|Volkswagen|Jetta|Sedan|Gray|67000|12995.00
79211|2018|Toyota|RAV4|SUV|Black|52000|19995.00
88760|2016|Dodge|Charger|Sedan|Red|72000|18995.00
97023|2019|Lexus|RX 350|SUV|Blue|35000|32995.00
60642|2021|Chevrolet|Tahoe|SUV|Silver|25000|47995.00
44578|2015|Audi|A4|Sedan|White|81000|16995.00
78230|2014|Ford|F-150|Truck|Gray|98000|15995.00
99999|2025|BMW|M8 Competition|Sedan|Black|1000|110000.0
